id,egalit,politic,egalit_p,politic_p,egalit_p_code,politic_p_code,idsex,ethnic,age,idab,famid
7880101,3.88,4,4.25,4,m,m,female,Asian,40.28,adopted,78801
7880103,4.63,4,4.25,4,m,m,female,Asian,38.52,adopted,78801
7890101,1.75,2,2.75,2,m,c,female,Asian,39.42,adopted,78901
7890103,2.13,2,2.75,2,m,c,female,Asian,36.6,adopted,78901
7980201,3.38,2,4.1899999999999995,3.5,c,c,female,Asian,38.82,adopted,79802
7980301,4.13,4,3.88,5,f,f,female,Asian,38.52,adopted,79803
7990101,2.75,3,3.815,4,c,c,female,Hispanic,38.87,adopted,79901
8066102,2.13,2,3.5,3,m,m,male,White,33.8,biological,80661
8080301,4,4,2.875,3.5,c,c,female,Asian,37.54,adopted,80803
8080303,3.75,4,2.875,3.5,c,c,female,Asian,35.54,adopted,80803
8160200,2.75,2,3.5,4,c,c,male,White,36.77,biological,81602
8160203,4.13,4,3.5,4,c,c,male,Asian,34.01,adopted,81602
8175707,4.88,4,4.0649999999999995,4,c,c,female,Asian,34.8,adopted,81757
8175905,3.63,3,3.25,4,m,m,male,White,37,adopted,81759
8175907,3,1,3.25,4,m,m,female,Asian,34.54,adopted,81759
8176002,3.88,3,2.5,4,m,m,male,White,35.47,biological,81760
8180101,3.25,4,3.25,3,m,m,female,Asian,36.46,adopted,81801
8180103,3.75,4,3.25,3,m,m,female,Asian,34.53,adopted,81801
8180201,3.25,3,4,4.5,c,c,female,Asian,36.79,adopted,81802
8180301,4.88,5,4.38,4,m,m,female,White,38.02,adopted,81803
8180303,3.5,3,4.38,4,m,m,female,White,33.1,adopted,81803
8180601,3.63,4,4.5,3.5,c,c,female,Asian,37.68,adopted,81806
8180603,3.5,4,4.5,3.5,c,c,female,Asian,35.14,adopted,81806
8180701,3.75,5,3.63,4,m,m,female,Asian,37.06,adopted,81807
8180703,4.13,5,3.63,4,m,m,female,Asian,35.84,adopted,81807
8190203,3,4,2.88,2,m,m,female,Asian,34.44,adopted,81902
8190401,3.38,4,4.0649999999999995,4.5,c,c,female,Asian,36.6,adopted,81904
8190603,2.25,2,3.065,1.5,c,c,female,Mixed,34.66,adopted,81906
8190700,3.75,3,2.86,3,m,m,female,White,36.71,biological,81907
8190703,2.63,2,2.86,3,m,m,female,Asian,33.54,adopted,81907
8196300,3.38,3,3.75,4,m,m,female,White,36.38,biological,81963
8196302,3.88,4,3.75,4,m,m,female,White,35.11,biological,81963
8196400,2.38,2,4.13,4,m,m,female,White,37.42,biological,81964
8196402,3.75,3,4.13,4,m,m,female,White,34.31,biological,81964
8196702,2.88,2,2.815,1.5,c,c,female,White,33.81,biological,81967
8260501,2.88,3,2.755,1.5,c,c,male,White,35.77,adopted,82605
8265807,4.5,4,4.3149999999999995,4,c,c,female,Hispanic,35.68,adopted,82658
8265907,4.25,4,2.44,2,c,c,female,Asian,34.51,adopted,82659
8266102,2.25,3,2.375,2,c,c,male,White,34.99,biological,82661
8266800,4.25,5,4.13,4,m,m,male,White,36.19,biological,82668
8266802,2.63,4,4.13,4,m,m,male,White,33.98,biological,82668
8270203,2.63,4,4.0649999999999995,4.5,c,c,male,Mixed,32.8,adopted,82702
8270301,1.88,1,4.38,2,m,m,male,Asian,35.97,adopted,82703
8270401,3.63,4,4.4399999999999995,4.5,c,c,male,Asian,35.77,adopted,82704
8270402,4.13,5,4.4399999999999995,4.5,c,c,male,White,34.19,biological,82704
8270501,3,3,2.565,1.5,c,c,male,Asian,33.59,adopted,82705
8275905,3.75,4,3.375,4,c,c,male,White,35.81,adopted,82759
8275907,3.5,4,3.375,4,c,c,female,Asian,31.56,adopted,82759
8276300,4.38,3,2.5,2,m,m,male,White,36.27,biological,82763
8280301,4,4,4.1899999999999995,4.5,c,c,female,Asian,35.33,adopted,82803
8280602,3.5,4,3.565,3.5,c,c,female,White,32.69,biological,82806
8286000,1.88,1,2.375,2,c,m,female,White,36.24,biological,82860
8286002,2.38,1,2.375,2,c,m,female,White,34.52,biological,82860
8290101,3.38,2,4,4,m,m,female,Asian,35.4,adopted,82901
8290102,4.13,4,4,4,m,m,female,White,32.67,biological,82901
8290201,4.75,5,2.815,2,c,c,female,Asian,36.1,adopted,82902
8290401,2,2,3.25,1,m,m,female,East Indian,35.92,adopted,82904
8290703,4.5,3,4,4.5,c,c,female,Asian,31.47,adopted,82907
8360201,3.5,4,4.38,5,c,c,male,Asian,34.51,adopted,83602
8360202,4.5,5,4.38,5,c,c,male,White,31.92,biological,83602
8360803,2.5,3,3.75,4,f,f,male,Asian,31.62,adopted,83608
8366700,3.75,4,3.5,4.5,c,c,male,White,34.74,biological,83667
8366702,3,2,3.5,4.5,c,c,male,White,31.21,biological,83667
8369806,1.5,2,2.19,1.5,c,c,female,White,32.24,biological,83698
8369904,3,2,2.815,1.5,c,c,male,White,34.84,biological,83699
8369906,3.88,3,2.815,1.5,c,c,female,White,32.08,biological,83699
8370603,4,5,3.38,4,f,f,male,Hispanic,34.43,adopted,83706
8370803,4.25,4,3.755,3.5,c,c,male,White,31.12,adopted,83708
8375905,3.25,3,1.75,2,m,m,male,Asian,36.46,adopted,83759
8377200,2.63,4,3.13,3,c,c,male,White,36.39,biological,83772
8379804,3.5,4,3.005,3,c,c,male,White,34.63,biological,83798
8379904,3,3,3.255,2,c,c,male,White,34.95,biological,83799
8379906,3.13,3,3.255,2,c,c,female,White,32.16,biological,83799
8380901,3.25,2,3.75,3,m,m,female,Asian,35.28,adopted,83809
8380902,3.88,3,3.75,3,m,m,female,White,31.15,biological,83809
8386000,4.5,5,2.065,2,c,c,female,White,35,biological,83860
8386002,3.38,3,2.065,2,c,c,female,White,32.62,biological,83860
8386202,3.13,4,2.19,2,c,c,female,White,32.98,biological,83862
8390103,3.75,4,3.94,4.5,c,c,female,Asian,33.09,adopted,83901
8390501,4.25,4,3.815,3.5,c,c,female,Asian,35.43,adopted,83905
8391301,4.25,4,4,4,m,m,female,White,35.23,adopted,83913
8391303,4.25,5,4,4,m,m,female,Asian,32.29,adopted,83913
8391401,3.38,3,2.88,2,m,m,female,White,35.24,adopted,83914
8391403,2.63,2,2.88,2,m,m,female,White,31.19,adopted,83914
8391501,3.88,4,2.69,3,c,c,female,Asian,35.02,adopted,83915
8391502,3.38,3,2.69,3,c,c,female,White,32.52,biological,83915
8395805,3.75,4,2.75,3,m,m,female,White,34.5,adopted,83958
8395807,3.13,2,2.75,3,m,m,male,White,31.19,adopted,83958
8396500,4,4,3.5,4,m,m,female,White,35.26,biological,83965
8396502,3,2,3.5,4,m,m,female,White,32.58,biological,83965
8396702,2.13,3,3,4,m,m,female,White,32.05,biological,83967
8460903,4.5,5,3.75,4,m,m,male,Asian,31.84,adopted,84609
8465105,3.5,2,3.63,4,f,f,male,East Indian,34.39,adopted,84651
