subno,loss,gain,response,condition,resp
1,6,12,accept,40.20,1
1,6,16,accept,40.20,1
1,6,20,accept,40.20,1
1,6,24,accept,40.20,1
1,6,28,accept,40.20,1
1,6,32,accept,40.20,1
1,6,36,accept,40.20,1
1,6,40,accept,40.20,1
1,8,12,accept,40.20,1
1,8,16,accept,40.20,1
1,8,20,accept,40.20,1
1,8,24,accept,40.20,1
1,8,28,accept,40.20,1
1,8,32,accept,40.20,1
1,8,36,accept,40.20,1
1,8,40,accept,40.20,1
1,10,12,accept,40.20,1
1,10,16,accept,40.20,1
1,10,20,accept,40.20,1
1,10,24,accept,40.20,1
1,10,28,accept,40.20,1
1,10,32,accept,40.20,1
1,10,36,accept,40.20,1
1,10,40,accept,40.20,1
1,12,12,accept,40.20,1
1,12,16,accept,40.20,1
1,12,20,accept,40.20,1
1,12,24,accept,40.20,1
1,12,28,accept,40.20,1
1,12,32,accept,40.20,1
1,12,36,accept,40.20,1
1,12,40,accept,40.20,1
1,14,12,accept,40.20,1
1,14,16,accept,40.20,1
1,14,20,accept,40.20,1
1,14,24,accept,40.20,1
1,14,28,accept,40.20,1
1,14,32,accept,40.20,1
1,14,36,accept,40.20,1
1,14,40,accept,40.20,1
1,16,12,accept,40.20,1
1,16,16,accept,40.20,1
1,16,20,accept,40.20,1
1,16,24,accept,40.20,1
1,16,28,accept,40.20,1
1,16,32,accept,40.20,1
1,16,36,accept,40.20,1
1,16,40,accept,40.20,1
1,18,12,accept,40.20,1
1,18,16,reject,40.20,0
1,18,20,accept,40.20,1
1,18,24,accept,40.20,1
1,18,28,accept,40.20,1
1,18,32,accept,40.20,1
1,18,36,accept,40.20,1
1,18,40,accept,40.20,1
1,20,12,reject,40.20,0
1,20,16,accept,40.20,1
1,20,20,accept,40.20,1
1,20,24,accept,40.20,1
1,20,28,accept,40.20,1
1,20,32,accept,40.20,1
1,20,36,accept,40.20,1
1,20,40,accept,40.20,1
3,12,12,accept,40.40,1
3,12,16,reject,40.40,0
3,12,20,reject,40.40,0
3,12,24,reject,40.40,0
3,12,28,accept,40.40,1
3,12,32,accept,40.40,1
3,12,36,reject,40.40,0
3,12,40,reject,40.40,0
3,16,12,reject,40.40,0
3,16,16,accept,40.40,1
3,16,20,reject,40.40,0
3,16,24,reject,40.40,0
3,16,28,reject,40.40,0
3,16,32,accept,40.40,1
3,16,36,accept,40.40,1
3,16,40,reject,40.40,0
3,20,12,reject,40.40,0
3,20,16,reject,40.40,0
3,20,20,accept,40.40,1
3,20,24,accept,40.40,1
3,20,28,reject,40.40,0
3,20,32,reject,40.40,0
3,20,36,reject,40.40,0
3,20,40,accept,40.40,1
3,24,12,reject,40.40,0
3,24,16,reject,40.40,0
3,24,20,accept,40.40,1
3,24,24,accept,40.40,1
3,24,28,reject,40.40,0
3,24,32,accept,40.40,1
3,24,36,accept,40.40,1
3,24,40,accept,40.40,1
3,28,12,reject,40.40,0
3,28,16,accept,40.40,1
3,28,20,accept,40.40,1
3,28,24,reject,40.40,0
3,28,28,accept,40.40,1
3,28,32,accept,40.40,1
3,28,36,accept,40.40,1
3,28,40,accept,40.40,1
3,32,12,accept,40.40,1
3,32,16,accept,40.40,1
3,32,20,reject,40.40,0
3,32,24,accept,40.40,1
3,32,28,reject,40.40,0
3,32,32,accept,40.40,1
3,32,36,accept,40.40,1
3,32,40,reject,40.40,0
3,36,12,reject,40.40,0
3,36,16,accept,40.40,1
3,36,20,accept,40.40,1
3,36,24,accept,40.40,1
3,36,28,accept,40.40,1
3,36,32,accept,40.40,1
3,36,36,accept,40.40,1
3,36,40,accept,40.40,1
3,40,12,accept,40.40,1
3,40,16,reject,40.40,0
3,40,20,accept,40.40,1
3,40,24,accept,40.40,1
3,40,28,accept,40.40,1
3,40,32,accept,40.40,1
3,40,36,reject,40.40,0
3,40,40,accept,40.40,1
4,6,6,accept,20.20,1
4,6,8,accept,20.20,1
4,6,10,accept,20.20,1
4,6,12,accept,20.20,1
4,6,14,accept,20.20,1
4,6,16,accept,20.20,1
4,6,18,accept,20.20,1
4,6,20,accept,20.20,1
4,8,6,reject,20.20,0
4,8,8,accept,20.20,1
4,8,10,accept,20.20,1
4,8,12,accept,20.20,1
4,8,14,accept,20.20,1
