participant,LapLong,whichtalk,threeGR,Wcount,factualindex,conceptualindex,factualraw,conceptualraw,perfectfactindexscore,perfectconceptindexscore,perfectfactsscore,perfectconceptscore,filter_$,ZFindexA,ZCindexA,ZFrawA,ZCrawA,ZFindexW,ZCindexW,ZFrawW,ZCrawW
1,1,3,.120622568,225,3,2,4,3,6,4,7,6,1,-.428736901945086,-.365627737943922,-.77338919123653,-.740710297939748,-.404617192919409,-1.04443575539941,-.267261241912425,-1.52362350055011
2,1,1,.064676617,213,3.6666667,1.5,7,3,7,3,14,6,1,.0649371453615235,-.850644125012389,.386694595618266,-.740710297939748,-.120269656426939,-.938911685786822,-.188465184273011,-.901387818865997
3,1,1,.08045977,244,6.5,2,12,4,7,3,14,6,1,2.16305171682518,-.365627737943922,2.32016757370959,-.0221107551623805,2.08159065573192,-.0625941123857879,1.6961866584571,0
4,0,1,.137157107,420,5.1666665,2.5,9,5,7,3,14,6,1,1.17570354816086,.119388649124545,1.1600837868548,.696488787614987,1.0454209553575,.813723461015246,.565395552819034,.901387818865997
5,0,3,.211180124,461,4,4,5,6,6,4,7,6,1,.311774131989277,1.57443781032995,-.386694595618265,1.41508833039235,.303462894689556,1.61412798561726,.356348322549899,1.67598585060512
6,0,3,.152097902,572,2,2.5,3,4,6,4,7,6,1,-1.16924793587945,.119388649124545,-1.1600837868548,-.0221107551623805,-1.11269728052837,-.379794820145239,-.890870806374748,-.457087050165032
7,0,4,.303769401,447,3.6666667,2,6,2,6,4,12,7,1,.0649371453615235,-.365627737943922,6.8690758968562E-16,-1.45930984071711,-.427464526540641,-.2953249540404,-.787852427917968,-1.08020201273796
8,0,4,.127840909,334,5.6666665,3,11,5,6,4,12,7,1,1.54595906512804,.604405036193012,1.93347297809133,.696488787614987,1.19240097098815,.717217745526686,1.10299339908516,.475288885604705
9,1,4,.076433121,157,2.3333333,2,4,3,6,4,12,7,1,-.922410949251695,-.365627737943922,-.77338919123653,-.740710297939748,-1.50737502021307,-.2953249540404,-1.54419075871922,-.561705046623742
10,1,4,.12173913,104,4.5,0,8,0,6,4,12,7,1,.682029648956458,-2.30569328621779,.773389191236532,-2.89650892627185,.247479471259664,-2.32041035317457,-.0315140971167183,-2.11719594496641
11,1,2,.108333333,126,1.2,.5,3,1,5,5,14,6,1,-1.76165676302694,-1.82067689914932,-1.1600837868548,-2.17790938349448,-1.52399800937723,-1.32292316152608,-1.38039650299996,-1.41360227487431
12,1,2,.009708738,105,2.6,4,8,5,5,5,14,6,1,-.724941315518831,1.57443781032995,.773389191236532,.696488787614987,-.0407486098763959,.7175176469294,1.25859681155878,.748377674933457
13,0,5,.095652174,127,2,1,2,2,7,3,9,6,1,-1.16924793587945,-1.33566051208086,-1.54677838247306,-1.45930984071711,-1.13936852204929,-2.12883335753987,-1.3970281900209,-2.0976176963403
14,0,5,.092936803,265,6,1.5,7,3,7,3,9,6,1,1.792796199858,-.850644125012389,.386694595618266,-.740710297939748,1.5284211881149,-1.01813769273646,1.49337496174648,-1.04880884817015
15,0,5,.17699115,340,3,1.5,3,3,7,3,9,6,1,-.428736901945086,-.850644125012389,-1.1600837868548,-.740710297939748,-.472421094508243,-1.01813769273646,-.818947559667425,-1.04880884817015
16,1,4,.029069767,157,6,3.5,12,6,6,4,12,7,1,1.792796199858,1.08942142326148,2.32016757370959,1.41508833039235,1.46237871589618,1.22348909531023,1.48116256448578,.993785851718928
17,1,4,.144444444,180,3.6666667,3,8,6,6,4,12,7,1,.0649371453615235,.604405036193012,.773389191236532,1.41508833039235,-.427464526540641,.717217745526686,-.0315140971167183,.993785851718928
18,1,5,.084210526,104,4,2,5,4,7,3,9,6,1,.311774131989277,-.365627737943922,-.386694595618265,-.0221107551623805,.194526333032806,.0925579720669508,.337213701039529,0
19,1,5,.177419355,127,3.5,2.5,4,5,7,3,9,6,1,-.0584813849779047,.119388649124545,-.77338919123653,.696488787614987,-.138947380737719,1.20325363687036,-.240866929313948,1.04880884817015
20,0,2,.154166667,243,3.1,1.5,4,2,5,5,14,6,1,-.35468579855165,-.850644125012389,-.77338919123653,-1.45930984071711,.488983318516759,-.739940073395944,-.852597840088208,-.873107287422367
21,0,2,.086956522,255,2,2,2,3,5,5,14,6,1,-1.16924793587945,-.365627737943922,-1.54677838247306,-.740710297939748,-.676426923948182,-.448448529330875,-1.9081951659117,-.332612299970426
