laptoporlonghand,studyornostudy,group,number,wordcount,threegrams,lectureorder,Respiration,RF1,RF2,RSD1,RSD2,RC1,RC2,RIS1,RIS2,RID1,RID2,Bats,BAF1,BAF2,BSD1,BSD2,BC1,BC2,BIS1,BIS2,BID1,BID2,Bread,BRF1,BRF2,BRSD1,BRSD2,BRC1,BRC2,BRIS1,BRIS2,BRID1,BRID2,Vaccines,VF1,VF2,VSD1,VSD2,VC1,VC2,VIS1,VIS2,VID1,VID2,batsknowledge,vaccineknowledge,cyclonesknowledge,breadknowledge,respirationknowledge,describeknowledge,year,GPA,major,SATreading,SATmath,SATwriting,SATtotal,laptopornotebook,lornrecoded,lornrecoded2,differclasses,differclassesrecoded,typing,howlongreview,howlongreviewrecoded,otherthoughts,gender,english,white,black,asian,latino,native,hawaiian,arab,other,otherspecify,RSD1no99,RSD2no99,VF2no99,VC1no99,allfacts,alldetails,allconcepts,allinferences,allapplications,filter_$,score,SATimputed,respirationfacts,respirationdetails,respirationconcepts,respirationinferences,respirationapplications,batsfacts,batsdetails,batsconcepts,batsinferences,batsapplications,breadfacts,breaddetails,breadconcepts,breadinferences,breadapplications,vaccinefacts,vaccinedetails,vaccineconcepts,vaccineinferences,vaccineapplications,allrespiration,allbats,allbread,allvaccines,factsdetailsZ,consinfsappsZ,meanfactsdetails,meanconsinfsapps,scorenoseductivedetails,percentagescore,knowledgeindex,wordcountcentered,threegramscentered,wcmeansplit,threegramsmeansplit,wcmediansplit,threegramsmediansplit,Ztyping,typinginteraction,lornbinary,sumtotalscores,sumtotalfactual,sumtotalconceptual,ZRF1,ZRF2,ZRSD1no99,ZRSD2no99,ZRC1,ZRC2,ZRIS1,ZRIS2,ZRID1,ZRID2,ZBAF1,ZBAF2,ZBSD1,ZBSD2,ZBC1,ZBC2,ZBIS1,ZBIS2,ZBID1,ZBID2,ZBRF1,ZBRF2,ZBRSD1,ZBRSD2,ZBRC1,ZBRC2,ZBRIS1,ZBRIS2,ZBRID1,ZBRID2,ZVF1,ZVF2no99,ZVSD1,ZVSD2,ZVC1no99,ZVC2,ZVIS1,ZVIS2,ZVID1,ZVID2,meanfactualZ,meanconceptualZ,meantotalZ,rawtotal,rawconceptual,rawfactual,Zrawtotal,Zrawconceptual,Zrawfactual,factsindexsum,conceptsindexsum,totalindexsum,Zfactsindexsum,Zconceptsindexsum,Ztotalindexsum
0,0,1,542,614,.16503268,1,1,0,.5,1,0,.333333333333333,.66666666666666,.5,1,1,.5,1,0,.166666666666,0,.5,.5,1,.5,.5,.25,0,1,.5,1,0,0,0,0,0,1,0,.5,1,0,1,0,0,0,0,0,.5,0,.5,1,4,1,1,4,I know the respiratory system to some extent and I know about vaccines and why they are administered.,2,2.92,Pre-Psychobiology,600,600,600,1800,Notebook because it helps me remember better.,2,2,No, ,7,About three days, ,A laptop is very inconvenient to bring to class so that also influences why I take notes in a notebook.,2,1, , ,1, , , , , , ,1,0,1,0,.5625,.25,.75,.875,.625,1,24.5,1800,.5,.5,1.5,1,1,.25,.5,1.5,1,.5,1,0,0,1,.5,.5,0,0,.5,.5,.9,.75,.5,.3,.34432407672501,.217155504257761,.40625,.75,.703125,.345070422535211,2.5,144,.08603268,1,1,1,1,1.56301968248503,0,2,24.5,6.5,18,-.439070555074253,.718436535897676,1.02318627873091,-.442704753464194,-.0948303262642907,.678373051641013,.749011997314316,1.10147898054374,1.2572203002478,.188271006987104,-.329361773533354,-.611175927253573,-.42788708254032,2.41385051565473,.160713751881759,1.57433224936699,.61894051039245,-.125450047407105,.277499544813204,-1.40333850614205,1.39137213581574,2.16642212835874,-.167458163297307,-.598293852311844,-.871032641270133,-.58768747749615,-.876597596169219,2.00692841738847,-.514770109286638,.0321973526530264,-.491033069583612,1.92479258255004,-.7112074356691,-.167458163297307,-.834670181524778,-.543036460691998,-.626025898536938,.173113439042921,-.85056453383169,.157086657290335,.328275587561436,.0686318117059225,.172489322048128,24.5,18,6.5,.335087232077636,.233592806093804,.477407594127434,4.666666666666,9.24999999999999,13.916666666666,.807502938575759,.193403202576714,.447290333599373
0,0,1,543,355,.218130312,1,1,0,0,1,0,0,0,0,0,0,0,1,0,.3333333333333,0,0,.5,.5,.5,1,0,.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.5,2,2,1,2,2, ,2,3.35,Business-Economics, , , ,2010,"in a notebook, because most of the classes i take are related to math somehow, its easier to take notes with a pen",2,2,Totally! I take notes on a laptop if it is a non-math course., ,5,3 hours or longer, ,no,2,2, , ,1, , , , , , ,1,0,0,0,.125,.125,.25,.375,.375,1,10,2010,0,.5,0,0,0,.5,0,1,1.5,.5,0,0,0,0,0,0,0,0,0,1,.1,.7,0,.2,-.619988843833103,-.861821979125648,.125,.333333333333333,.28125,.140845070422535,2,-115,.139130312,0,1,0,1,-.0146076605839713,0,2,10,2,8,-.439070555074253,-.679948864331729,1.02318627873091,-.442704753464194,-1.12848088254506,-1.06145430433241,-.762882589857173,-.89954116744405,-.788108247916533,-1.09432522811254,-.329361773533354,-.08246024415326,-.42788708254032,-.298620682349039,.160713751881759,-.124699584108277,.61894051039245,1.11764587689966,-.885863931519074,.439600013972209,-.480968145714084,-.457355782653511,-.167458163297307,-.598293852311844,-.871032641270133,-.58768747749615,-.876597596169219,-.693753033171324,-.514770109286638,-1.13763979374027,-.491033069583612,-.514770109286638,-.7112074356691,-.167458163297307,-.834670181524778,-.543036460691998,-.626025898536938,-1.00622186443698,1.16490360068253,.157086657290335,-.32908827490804,-.449079190876692,-.401082824489231,10,8,2,-1.06044734051447,-1.07548770106428,-.788367675707734,1.3333333333333,4.5,5.8333333333333,-.726576718151349,-.991620562323811,-.981902986782901
0,0,1,545,469,.107066381,1,1,0,0,0,0,0,.66666666666666,.5,0,0,.5,1,0,1,0,0,.5,1,1,0,.25,.5,1,0,0,0,0,0,0,.5,.5,1,0,1,0,0,.75,1,0,0,0,.5,0,.5,4,4,1,4,3, ,2,3.39,Asian American Studies & Political Science, , , ,1930,"notebook, because it is easier to remember what I write by hand",2,2,no, ,6,1.5 hrs, , ,2,1, , ,1, , , , , , ,0,0,0,0,.375,.3125,.625,.75,.625,1,21.5,1930,0,0,1,.5,.5,1.5,0,1.5,1,1,0,0,0,1,.5,0,1.25,0,.5,.5,.4,1,.3,.45,.209810328436715,.0023050344799244,.34375,.666666666666667,.59375,.302816901408451,3.75,-1,.028066381,0,1,1,1,.774206010950531,0,2,21.5,5.5,16,-.439070555074253,-.679948864331729,-.968372728084612,-.442704753464194,-1.12848088254506,.678373051641013,.749011997314316,-.89954116744405,-.788108247916533,.188271006987104,-.329361773533354,2.03240248824799,-.42788708254032,-.298620682349039,.160713751881759,1.57433224936699,1.99576736004096,-1.36854597171387,.277499544813204,.439600013972209,-.480968145714084,-.457355782653511,-.167458163297307,-.598293852311844,-.871032641270133,-.58768747749615,.926216328027854,.656587692108575,1.92479258255004,-1.13763979374027,-.491033069583612,-.514770109286638,1.31109544662478,5.9168551031715,-.834670181524778,-.543036460691998,-.626025898536938,.173113439042921,-.85056453383169,.157086657290335,.185281717238736,.0110846840969088,.0807634973536396,21.5,16,5.5,.0463559411965113,-.0282232953378122,.19612420083073,2.75,7.91666666666666,10.6666666666667,-.0745928640421889,-.139235047219925,-.127333784904768
0,0,1,546,825,.110571081,3,1,0,0,1,0,.333333333333333,.66666666666666,0,0,1,0,1,0,0,0,0,0,.5,0,.5,.25,.5,1,.5,0,0,1,0,0,.5,0,0,1,1,.5,0,0,0,1,0,.5,.5,1,0,2,3,1,1,3,Some of it I knew from my biology classes,2,3.5,Political Science,660,710,630,2000,on my laptop because it is easier and faster to type,1,1,"Yes it does. / In a math class, I take notes in a notebook", ,6,Hours/day, ,It is easier to get more notes if im taking it on my laptop because professors tend to go really fast,2,1, , ,1, , , , , , ,1,0,0,1,.25,.375,.625,.5,.75,1,20,2000,0,.5,1.5,0,.5,0,0,.5,.5,1,.5,1,0,.5,1,.5,0,.5,1,.5,.5,.4,.6,.5,.170168919928013,-.112495044621973,.3125,.625,.53125,.28169014084507,2.25,355,.031571081,1,1,1,1,.774206010950531,0,1,20,5,15,-.439070555074253,-.679948864331729,1.02318627873091,-.442704753464194,-.0948303262642907,.678373051641013,-.762882589857173,-.89954116744405,1.2572203002478,-1.09432522811254,-.329361773533354,-1.13989161035389,-.42788708254032,-.298620682349039,-1.29910282771089,-.124699584108277,-.757886339256061,-.125450047407105,.277499544813204,.439600013972209,1.39137213581574,-.457355782653511,-.167458163297307,2.06350328654493,-.871032641270133,-.58768747749615,.926216328027854,-.693753033171324,-.514770109286638,1.20203449904632,1.18154832368557,-.514770109286638,-.7112074356691,-.167458163297307,1.1870864803908,-.543036460691998,.942636697796998,.173113439042921,1.16490360068253,-1.06594517447013,-.00725780944209283,-.0494274604535463,-.0325596000489649,20,15,5,-.0980097042440513,-.15913134605362,.0554825041823777,3,8.24999999999999,11.25,.0404631102123661,-.0560754847707653,-.0241961226091319
0,0,1,547,362,.152777778,3,1,1,0,0,0,.333333333333333,0,0,1,0,0,1,0,0,0,0,.5,.5,0,0,.25,0,1,0,0,0,0,0,0,0,0,0,0,1,.5,0,0,0,0,0,0,0,0,0,1,3,1,2,2, ,1,3.4,business, , , , ,"laptop, storage and ease of use",1,1,yes., ,5,not long, ,laptop for organization and easy access. notebook for clarity and purpose,1,2, , ,1, , , , , , ,0,0,0,0,.25,0,.375,.125,.125,1,7,2017,.5,0,.5,.5,0,0,0,1,0,.5,0,0,0,0,0,.5,0,0,0,0,.3,.3,0,.1,-.730450706374884,-1.20342893547677,.125,.208333333333333,.21875,.0985915492957746,2,-108,.073777778,0,1,0,1,-.0146076605839713,0,1,7,2,5,2.29571175938824,-.679948864331729,-.968372728084612,-.442704753464194,-.0948303262642907,-1.06145430433241,-.762882589857173,1.10147898054374,-.788108247916533,-1.09432522811254,-.329361773533354,-1.13989161035389,-.42788708254032,-.298620682349039,.160713751881759,-.124699584108277,-.757886339256061,-1.36854597171387,.277499544813204,-1.40333850614205,-.480968145714084,-.457355782653511,-.167458163297307,-.598293852311844,-.871032641270133,-.58768747749615,-.876597596169219,-.693753033171324,-.514770109286638,-1.13763979374027,1.18154832368557,-.514770109286638,-.7112074356691,-.167458163297307,-.834670181524778,-.543036460691998,-.626025898536938,-1.00622186443698,-.85056453383169,-1.06594517447013,-.24418994148832,-.646846816045448,-.485784066222597,7,5,2,-1.34917863139559,-1.4682118532117,-.788367675707734,1.5,2.58333333333333,4.08333333333333,-.649872735314964,-1.46978804640648,-1.2913159736698
0,0,1,548,810,.113861386,4,1,0,0,1,0,.333333333333333,.333333333333333,.5,0,0,0,1,0,.66666666666,0,0,.5,1,0,.5,.25,.5,1,0,0,0,0,0,.5,0,0,0,0,1,.5,0,0,0,0,0,0,0,0,0,3,2,2,1,2,"The prior experience I have had with the aforementioned subjects is not meaningful in the least, as is evinced by my inability to remember the details mentioned in the video. This would hardly matter though, seeing as the narrator in the video was a terrible lecturer whom I could barely follow since he would speak far too quickly.",3,3.6,Computer Science,760,780,680,2220,"It depends on the class. If the professor makes the presentations available via CCLE, then I don't. I do, however, make flash cards and create other interative means of studying which I find to be much more effective than any form of note taking. I typically study for a midterm with only days to spare.",0,0,"It used to since I would find it difficult to represent mathematical and computational data in my notes. However, I have since found ways to get around this by using newer software and technology.", ,5,Not at all. I would only use my notes to create interactive excercises which I would use to study., ,One upside to notebooks is that they will never run out of battery when you need them the most.,1,1, , , ,1, , , ,1,Jewish,1,0,0,0,.375,.125,.75,.25,.25,1,14,2220,0,.5,1,.5,0,1,0,1.5,.5,1,0,0,.5,0,0,.5,0,0,0,0,.4,.8,.1,.1,-.240499484714733,-.673677605245155,.25,.416666666666667,.40625,.197183098591549,2,340,.034861386,1,1,1,1,-.0146076605839713,0,1,14,4,10,-.439070555074253,-.679948864331729,1.02318627873091,-.442704753464194,-.0948303262642907,-.191540626345698,.749011997314316,-.89954116744405,-.788108247916533,-1.09432522811254,-.329361773533354,.974971122047367,-.42788708254032,-.298620682349039,.160713751881759,1.57433224936699,-.757886339256061,-.125450047407105,.277499544813204,.439600013972209,-.480968145714084,-.457355782653511,-.167458163297307,-.598293852311844,-.871032641270133,1.19169960714497,-.876597596169219,-.693753033171324,-.514770109286638,-1.13763979374027,1.18154832368557,-.514770109286638,-.7112074356691,-.167458163297307,-.834670181524778,-.543036460691998,-.626025898536938,-1.00622186443698,-.85056453383169,-1.06594517447013,-.158462477441177,-.357461754390955,-.277862043611044,14,10,4,-.675472286006301,-.81367159963266,-.225800889114326,2.16666666666,4.41666666666667,6.58333333332667,-.343056803972552,-1.0124104529361,-.849297420975399
0,0,1,550,564,.048042705,4,1,1,.5,1,0,0,.333333333333333,.5,1,1,.5,1,0,.3333333333333,0,0,1,.5,1,1,0,.5,1,0,0,0,0,.5,0,0,.5,1,0,1,0,1,0,0,0,0,0,1,1,1,2,2,1,2,4, ,1,3.8,Business-economics, , , , ,"laptop, it's faster to type and i can also record",1,1,yes, ,4,3 hours, ,no,1,2,1,1,1, , , ,1, , ,1,0,1,0,.5,.125,.625,1.125,.875,1,26,2017,1,.5,.5,1,1,.5,0,1.5,2,.5,0,0,.5,.5,.5,.5,0,0,1,1.5,.8,.9,.3,.6,-.0507548051555478,.55876246060888,.3125,.875,.78125,.366197183098592,2.5,94,-.030957295,1,0,1,0,-.803421332118473,0,1,26,5,21,2.29571175938824,.718436535897676,1.02318627873091,-.442704753464194,-1.12848088254506,-.191540626345698,.749011997314316,1.10147898054374,1.2572203002478,.188271006987104,-.329361773533354,-.08246024415326,-.42788708254032,-.298620682349039,1.62053033147441,-.124699584108277,1.99576736004096,1.11764587689966,-.885863931519074,.439600013972209,-.480968145714084,-.457355782653511,-.167458163297307,-.598293852311844,.394868130709127,-.58768747749615,-.876597596169219,.656587692108575,1.92479258255004,-1.13763979374027,-.491033069583612,1.92479258255004,-.7112074356691,-.167458163297307,-.834670181524778,-.543036460691998,-.626025898536938,1.35244874252282,1.16490360068253,1.3801184890508,.0817073754999958,.350291778017776,.242858017010664,26,21,5,.479452877518199,.626316958241228,.0554825041823777,3.8333333333333,12.3333333333333,16.1666666666666,.423983024394201,.962629155231443,.845107031025511
0,0,1,551,124,.139344262,4,1,0,0,0,0,.333333333333333,0,.5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,2,1,1,2,The topics introduced in the lectures are unfamiliar to me.,1,2.8,Applied Mathematics,600,780,640,2020,In a notebook. It is a habit I have since elementary school. I can think faster when I write on an actual piece of paper.,2,2,"I can accept taking notes for humanities classes, but definitely not for math and science courses.", ,3,Not long. I usually skim through them and I read textbooks more., ,Taking notes on a lap-top doesn't help me conprehend or memorize the materials.,2,2, , ,1, , , , , , ,0,0,0,1,0,0,.75,.375,0,1,9,2020,0,0,.5,.5,0,0,0,1,1,0,0,0,0,0,0,0,0,1.5,0,0,.2,.4,0,.3,-1.10994006549325,-.780959268898253,0,.375,.28125,.126760563380282,2,-346,.060344262,0,1,0,1,-1.59223500365298,0,2,9,0,9,-.439070555074253,-.679948864331729,-.968372728084612,-.442704753464194,-.0948303262642907,-1.06145430433241,.749011997314316,-.89954116744405,-.788108247916533,-1.09432522811254,-.329361773533354,-1.13989161035389,-.42788708254032,-.298620682349039,1.62053033147441,-1.82373141758355,1.99576736004096,-1.36854597171387,-.885863931519074,-1.40333850614205,-.480968145714084,-.457355782653511,-.167458163297307,-.598293852311844,-.871032641270133,-.58768747749615,-.876597596169219,-.693753033171324,-.514770109286638,-1.13763979374027,-.491033069583612,-.514770109286638,-.7112074356691,-.167458163297307,1.1870864803908,2.08767350443812,-.626025898536938,-1.00622186443698,-.85056453383169,-1.06594517447013,-.519650173221549,-.417079481240801,-.458107758033101,9,9,0,-1.15669110414151,-.944579650348468,-1.35093446230114,0,4.83333333333333,4.83333333333333,-1.34020858084229,-.908460999874651,-1.15871040786113
0,0,1,555,643,.184087363,1,1,0,0,1,0,0,.333333333333333,0,0,0,.5,1,0,.66666666666,0,0,0,.5,0,0,0,.5,1,.5,0,0,0,.5,0,.5,0,1,1,1,.5,0,0,0,0,0,0,0,0,0,2,2,2,2,2, ,2,2.4,mimg,540,680,520,1740,"Notebook if it is on the board, laptop if there are powerpoint slides. Usually, when there are powerpoint slides, it is too hard to write everything down by hand.",3,3,yes, ,5,3 Days, , ,2,1, , ,1, , , , , , ,1,0,0,0,.5,.125,.375,.125,.625,1,14,1740,0,.5,.5,0,.5,1,0,.5,0,.5,.5,0,.5,.5,1.5,.5,0,0,0,0,.3,.4,.6,.1,-.0507548051555478,-.764277726932641,.3125,.375,.40625,.197183098591549,2,173,.105087363,1,1,1,1,-.0146076605839713,0,1,14,5,9,-.439070555074253,-.679948864331729,1.02318627873091,-.442704753464194,-1.12848088254506,-.191540626345698,-.762882589857173,-.89954116744405,-.788108247916533,.188271006987104,-.329361773533354,.974971122047367,-.42788708254032,-.298620682349039,-1.29910282771089,-.124699584108277,-.757886339256061,-1.36854597171387,-.885863931519074,.439600013972209,1.39137213581574,-.457355782653511,-.167458163297307,-.598293852311844,.394868130709127,-.58768747749615,.926216328027854,-.693753033171324,1.92479258255004,1.20203449904632,1.18154832368557,-.514770109286638,-.7112074356691,-.167458163297307,-.834670181524778,-.543036460691998,-.626025898536938,-1.00622186443698,-.85056453383169,-1.06594517447013,-.041441209845563,-.389115592970168,-.250045839720326,14,9,5,-.675472286006301,-.944579650348468,.0554825041823777,2.66666666666,4.83333333333333,7.49999999999333,-.112944855463442,-.908460999874651,-.687223951653685
0,0,1,557,534,.052631579,4,1,1,0,0,0,.333333333333333,.66666666666666,0,0,0,0,1,1,1,1,0,1,.5,.5,0,.25,.5,1,0,1,0,0,.5,0,.5,1,0,.5,1,0,1,0,0,0,0,1,1,0,0,1,2,1,1,2, ,4,3.923,Art, , , ,1770,No. I normally take hand written notes.,2,2,Yes., ,4,Days in advance., ,I prefer a notebook because the process of writing it down helps me internalize the information.,2,2, , , ,1, , , , , ,0,0,1,0,1,.125,.875,1,.375,1,27,1770,.5,0,1.5,0,0,2.5,.5,1.5,.5,1,.5,0,.5,1.5,.5,.5,0,0,2,0,.4,1.2,.6,.5,.708223913081193,.212430369763535,.5625,.75,.8125,.380281690140845,1.5,64,-.026368421,1,0,1,0,-.803421332118473,0,2,27,9,18,2.29571175938824,-.679948864331729,-.968372728084612,-.442704753464194,-.0948303262642907,.678373051641013,-.762882589857173,-.89954116744405,-.788108247916533,-1.09432522811254,3.08972711362242,2.03240248824799,2.31562421139467,-.298620682349039,1.62053033147441,-.124699584108277,.61894051039245,-1.36854597171387,.277499544813204,.439600013972209,-.480968145714084,2.16642212835874,-.167458163297307,-.598293852311844,.394868130709127,-.58768747749615,.926216328027854,2.00692841738847,-.514770109286638,.0321973526530264,-.491033069583612,1.92479258255004,-.7112074356691,-.167458163297307,-.834670181524778,-.543036460691998,2.51129929413093,1.35244874252282,-.85056453383169,-1.06594517447013,.551163401591204,.0553872777086416,.253697727261667,27,18,9,.575696641145241,.233592806093804,1.18061607736919,6,8.24999999999999,14.25,1.42113480126703,-.0560754847707653,.506226140625568
