ID,condition,condition_label,laplong,whichtalk,whichtalklabel,obj_raw,open_raw,obj_rawZ,open_rawZ,obj_index,open_index,obj_indexZ,open_indexZ,obj_index_prop,open_index_prop,wordcount,pltrigrams,ltrigrams,ptrigrams,threegramspercentl,threegramspercentp,relatedknowledge,laptopornotebook,betterlorn,lornchoicedepends,timereviewingnotes,otherthoughts,studyabout,year,concentration,gender_coded,race_ethnicity_coded,NFC_1,NFC_2,NFC_3R,NFC_4R,NFC_5R,NFC_6,NFC_7R,NFC_8R,NFC_9R,NFC_10,NFC_11,NFC_12R,NFC_13,NFC_14,NFC_15,NFC_16R,NFC_17R,NFC_18,NFC,values.completed,values.rspan,values.totalcorrectletters,values.sentencetotalerrors,values.sentencespeederrors,values.sentenceaccerrors,typingwpm,typingacc
1,0,laptop,.5,2,inequalities,8.66666666666667,4.5,1.50912943221251,.494029414388197,3.08333333333333,3.5,-.495922306240432,.776337929412619,.616666666666667,.7,213,22,2456,211,.895765472312704,10.4265402843602,2,"It depends on the class.
When a professor lectures at a fast pace, I am able to take notes faster on my computer, but for economics classes that require graphs and math problems I prefer paper notes.",4,"Yes, the types of notes I am required to take are different (graphing etc)",5 to 7 hours (plus practice problems),I think the effectiveness depends on the classes that one takes and the work that is required in them,Note taking skills,2019,International Relations/Economics,1,3,3,2,0,2,4,1,3,-4,2,3,2,4,1,0,3,-4,4,4,30,0,62,68,4,1,3,61,97
2,1,longhand,-.5,2,inequalities,5.58333333333333,5.5,.00300669465421593,1.24144354274627,3.41666666666667,4.16666666666667,-.128224250849948,1.45024902966722,.683333333333333,.833333333333333,112,6,2456,110,.244299674267101,5.45454545454545,3,Notebook,5,No,3-4 hours,no,The effects of note taking on memory retention.,2017,International Relations,1,1,2,3,4,3,3,1,0,3,3,2,-1,3,4,2,3,-1,2,1,37,0,68,73,5,1,4,43,94
4,1,longhand,-.5,3,ideas,2,3.58333333333333,-1.04654782605227,-.391654384471059,2,2.66666666666667,-.76557285968677,-.777406412987682,.333333333333333,.666666666666667,54,4,2981,52,.134183160013418,7.69230769230769,0,I do both but it depends on the class. When lecture slides are available I usually print them out and take notes on them. If no lecture slides are available I do notes on my computer. If the class is problem solving based such as a math class or physics class I take notes on paper.,4,Yes as mentioned in the question above,"Ideally I would take 2 days, spending enough time each day so that I know the material well, estimated total time of 2 hours for reviewing notes.",Heavily dependent on the class and how the professor teaches.,"Unsure what to think, it seems as if only paper note taking was being evaluated. TED talk was a little boring, a more interesting subject would have been nice. Unsure of the purpose of the typing quiz was, perhaps to see if there was a correlation between typing speed and preference of computer or paper notes.",2019,Biology,2,2,2,1,2,-2,1,-1,-2,1,-1,1,-1,1,1,1,0,-1,2,2,7,0,18,45,7,1,6,46,98
5,0,laptop,.5,1,islam,11.6428571428571,4.23076923076923,1.28665809784794,.894507975761732,6,2.76923076923077,1.15765694656095,.571854060735756,.857142857142857,.923076923076923,551,106,2863,549,3.70241005937827,19.3078324225865,2,"It depends on the class, but normally my laptop. Lecturers talk too fast for me to be able to write down legible and cohesive notes so I prefer my computer. I can also easily make study guides from my notes. However, I do use a notebook for my language classes (Spanish) because it is much easier to speak and understand a language when writing than typing because there is autocorrect on computers which prohibits learning of grammar and correct spelling of vocabulary words.",2,"Yes. As mentioned above, in language courses I prefer a notebook and math as well.",Depends. normally about an hour or two.,nope,Information retainment and note taking.,2019,International Relations and Political Science,1,2,-4,3,0,1,3,-1,1,-1,0,1,3,4,-1,0,3,1,1,2,16,0,43,57,1,0,1,84,98
6,1,longhand,-.5,5,algorithms,5.76923076923077,3.46153846153846,1.02250145424837,.754907495800431,4.84615384615385,2.46153846153846,1.25716608437916,.455125813773179,.692307692307692,.82051282051282,66,4,2428,64,.164744645799012,6.25,1,"A notebook -- I generally feel it helps me remember better to write things down physically rather than type them, and my laptop is more likely to pose a distraction.",5,I perhaps exclusively use a notebook for humanities courses while I have used a laptop occasionally in computer science and other science courses. In either case a notebook is the main thing that I use.,It depends on the class but at least several hours. The notes I take are generally my main source for studying.,Not particularly,The main focus seems to be on note-taking and how the different ways of presenting material can impact recall in the long and short-term.,2019,English/Environmental Studies,1,4,3,3,3,4,4,2,3,2,-2,2,2,3,1,3,-2,2,2,3,38,0,47,61,3,1,2,68,99
8,1,longhand,-.5,4,indus,9.2,3.53333333333333,.883438928010628,-.76662653878059,6,2.66666666666667,1.2886495918013,-.587246289998901,1,.666666666666667,233,20,3011,231,.664231152441049,8.65800865800866,0,Notebook because it forces me to listen more attentively and not get distracted.,6,"Yes (laptop for humanities, notebook for science and math)",~5 hours,Nope!,"I think this study is about the efficacy of taking notes on a humanities subject on a laptop vs. on a computer, and how easily participants will be able to recall information based upon which method they used to take notes.",2018,Environmental Engineering,2,4,2,3,2,1,1,-2,1,-2,-1,2,1,2,-1,1,3,1,-1,-1,12, , , , , , ,68,95
9,0,laptop,.5,1,islam,7.41666666666667,4.57142857142857,-.317706563730318,1.20166825297715,4,2.78571428571429,-.449479196786028,.5977602010711,.571428571428571,.928571428571429,274,23,2863,272,.803353126091512,8.45588235294118,3,notebook. I remember things through writing and by remembering how they look on the page/where they are on the page and I just don't remember that as much on a laptop. I use a laptop sometimes when it's a class I get bored in or when the lectures don't really correspond to what we have to know but I'm aware I'm definitely not learning as much.,6,"I don't think so, I use a notebook in my soc classes and spanish but not in cosmos and philosophy of religion, cosmos I use my computer because I get bored and philosophy of religion because I'm a paid notetaker and it's easier to submit that way",I read over them once and then I usually go back through to make a study guide,sometimes lectures go so fast you kinda have to use a laptop,studying how much knowledge you retain using a laptop i think,2020,haven't decided but possibly IR and sociology,1,5,3,3,3,2,4,3,3,0,-1,4,4,3,4,4,3,1,0,3,46,0,46,62,0,0,0,73,97
10,1,longhand,-.5,3,ideas,5.91666666666667,3.58333333333333,1.66927950329968,-.391654384471059,5,3.08333333333333,1.75566305052979,.0299454131891037,.833333333333333,.770833333333333,115,10,2981,113,.335457900033546,8.84955752212389,1,"Depends on the class. If there are slides on Trunk i usually annotate the slides, otherwise I take notes in a notebook.",7,No,4-5 hours,Note taking in a notebook is better.,Whether note taking on a laptop or in a notebook improves memory more.,2019,Clinical Psychology/Spanish,2,4,0,3,2,1,3,-2,4,-1,-1,2,2,3,2,4,1,1,2,2,28,0,47,64,4,1,3,77,98
11,1,longhand,-.5,1,islam,6.42857142857143,4.64285714285714,-.69281154094439,1.26607282723199,3.71428571428571,2.85714285714286,-.679070074407025,.71002014252426,.530612244897959,.952380952380952,238,7,2863,236,.244498777506112,2.96610169491525,1,Laptop - I like to take notes directly on the slides so that I don't need to re-write that information and can focus on what is actually being said,4,Yes - for math/science I use a notebook because it involves more graphs/symbols that are harder to make on a computer,4 hours,-99,Study practices and working memory,2018,Psych,1,4,2,3,1,3,3,-1,3,-1,1,4,3,2,3,2,3,2,3,3,39,0,17,36,2,0,2,57,98
12,0,laptop,.5,2,inequalities,4.91666666666667,3.66666666666667,-.322641464817847,-.128815692576866,3.91666666666667,2.83333333333333,.423322832235778,.102426829158015,.783333333333333,.566666666666667,162,13,2456,160,.529315960912052,8.125,1,"Notebook, I think it sits better in my head",6,"No, I take notes in notebooks for all classes",3 hours,"Although note-taking on notebook is fundamentally slower, I process the information better",Whether taking notes on a laptop or notebook is better,2019,Applied math Biology,2,2,2,2,2,-2,-2,2,1,-2,-3,3,3,3,2,3,1,3,-1,-1,16,0,34,53,6,4,2,60,96
