ID,FAMID,IDSC,IDSEX,IDAB,IDFAMAB,IDFAMSEX,INELIG,ETHNIC,Z_SES_2,ED_DEG_F3,ED_YRS_F3,POLITIC_F3,AGE_F3,AUTH_TOT_F3,EGALIT_F3,GSS_SOC_F3,GSS_ECON_F3,RETRIB_F3,RELIG_F3,ICAR_F3,ED_DEG_M,ED_YRS_M,POLITIC_M,AGE_M_F3,AUTH_TOT_M,EGALIT_M,GSS_SOC_M,GSS_ECON_M,RETRIB_M,RELIG_M_F3,ICAR_M,RELIG_D_IN,ED_DEG_D,ED_YRS_D,POLITIC_D,AGE_D_F3,AUTH_TOT_D,EGALIT_D,GSS_SOC_D,GSS_ECON_D,RETRIB_D,RELIG_D_F3,ICAR_D,Composite_M,Composite_D,Composite
7880101,78801,1,2,1,1,2,NA,2,-0.54,5,20,4,40.28,2.83,3.88,3.45,4,3.2,6,5,5,16,4,74.21,2.75,4.25,3.27,4,3.4,26,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.24351187,NA,62.27518876
7880103,78801,3,2,1,1,2,NA,2,-0.54,6,18,4,38.52,2.33,4.63,4,3.83,2.4,23,6,5,16,4,74.21,2.75,4.25,3.27,4,3.4,26,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.24351187,NA,68.41536465
7880201,78802,1,2,1,1,2,NA,2,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,16,5,70.56,2.5,4.38,3.55,4.83,3.2,15,8,8,6,18,4,71.91,2.5,4,3.64,3.5,3.4,7,6,76.83569193,65.1150556,NA
7880203,78802,3,2,1,1,2,NA,2,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,16,5,70.56,2.5,4.38,3.55,4.83,3.2,15,8,8,6,18,4,71.91,2.5,4,3.64,3.5,3.4,7,6,76.83569193,65.1150556,NA
7890101,78901,1,2,1,1,2,NA,2,0.83,7,20,2,39.42,3.17,1.75,3.09,1,3.4,23,11,5,16,2,70.12,3.33,2.75,2.64,2.33,3.8,28,7,25,7,20,2,69.17,NA,NA,NA,NA,NA,NA,NA,24.53868504,NA,20.51036452
7890103,78901,3,2,1,1,2,NA,2,0.83,6,18,2,36.6,3.58,2.13,2.73,3,4.2,15,13,5,16,2,70.12,3.33,2.75,2.64,2.33,3.8,28,7,25,7,20,2,69.17,NA,NA,NA,NA,NA,NA,NA,24.53868504,NA,25.755641
7890301,78903,1,2,1,1,2,NA,2,-0.73,1,15,2,40.53,3.92,2.88,3,3.67,4,23,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.58445741
7890303,78903,3,2,1,1,2,NA,2,-0.73,4,14,4,37.98,2.25,4.38,3.55,4.17,2.8,20,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.808639
7960101,79601,1,1,1,1,1,NA,3,0.15,5,16,4,40.09,3,4.25,4,3.67,3.2,23,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.85180295
7960103,79601,3,1,1,1,1,NA,3,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7980101,79801,1,2,1,1,2,NA,1,-0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,16,2,64.93,2.42,3.38,3,3.67,3,29,7,28,6,18,2,65.39,2.83,2.63,2.36,1.5,3.6,28,9,47.80373564,25.50785645,NA
7980103,79801,3,2,1,1,2,NA,1,-0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,16,2,64.93,2.42,3.38,3,3.67,3,29,7,28,6,18,2,65.39,2.83,2.63,2.36,1.5,3.6,28,9,47.80373564,25.50785645,NA
7980201,79802,1,2,1,3,2,NA,2,0.83,5,16,2,38.82,2.5,3.38,3.09,3.33,3.4,3,11,5,16,3,68.04,3.17,3.63,3,4.5,2.8,12,9,15,6,19,4,74.6,2.75,4.75,3.73,4.67,4.2,9,15,60.45995546,67.72040225,50.15666991
7980202,79802,2,2,2,3,2,NA,1,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,16,3,68.04,3.17,3.63,3,4.5,2.8,12,9,15,6,19,4,74.6,2.75,4.75,3.73,4.67,4.2,9,15,60.45995546,67.72040225,NA
7980301,79803,1,2,1,3,2,NA,2,0.28,5,16,4,38.52,3.08,4.13,3.45,3.83,3,19,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,5,16,5,62.58,1.67,3.88,4,4.17,2,1,10,NA,87.83236405,57.06925686
7980302,79803,2,2,2,3,2,NA,1,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,5,16,5,62.58,1.67,3.88,4,4.17,2,1,10,NA,87.83236405,NA
7990101,79901,1,2,1,1,2,NA,5,1.37,5,18,3,38.87,2.42,2.75,3.5,3,3,3,3,6,18,4,69.67,2.33,3.63,3.45,4.5,2.4,16,6,9,7,20,4,72.33,2.25,4,4.27,4.17,1.8,3,12,72.89108201,83.17977456,54.21890184
7990103,79901,3,2,1,1,2,NA,5,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,18,4,69.67,2.33,3.63,3.45,4.5,2.4,16,6,9,7,20,4,72.33,2.25,4,4.27,4.17,1.8,3,12,72.89108201,83.17977456,NA
8065905,80659,5,1,1,1,3,NA,1,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12,2,68.66,2.83,2.75,3.09,3.67,3.6,7,7,NA,5,16,2,71.07,2.67,3.13,3.36,3.67,4,20,6,47.35590538,44.26505064,NA
8065907,80659,7,2,1,1,3,NA,2,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12,2,68.66,2.83,2.75,3.09,3.67,3.6,7,7,NA,5,16,2,71.07,2.67,3.13,3.36,3.67,4,20,6,47.35590538,44.26505064,NA
8066100,80661,0,1,2,2,1,NA,1,-1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,12,3,62.45,3.33,3.5,3.27,3.5,3.4,13,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.66857351,NA,NA
8066102,80661,2,1,2,2,1,NA,1,-1.52,6,18,2,33.8,2.58,2.13,3.64,2.17,4.4,18,15,3,12,3,62.45,3.33,3.5,3.27,3.5,3.4,13,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.66857351,NA,30.79310995
8070300,80703,0,1,2,3,1,NA,1,NA,5,16,4,37.3,2.42,3.88,3.73,4.5,2.6,21,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.79052099
8070303,80703,3,1,1,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8075905,80759,5,1,1,1,3,NA,1,0.36,3,16,3,37.61,2.67,3.38,2.82,3.33,3.2,19,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.77150806
8075907,80759,7,2,1,1,3,NA,1,0.36,2,12,3,33.37,3.58,3.5,2.64,3.5,3.8,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.88088217
8080101,80801,1,2,1,1,2,NA,2,-0.65,5,16,2,38.37,2.83,3,3.09,3.17,3.8,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.1376143
8080103,80801,3,2,1,1,2,NA,2,-0.65,5,16,5,35.17,3.08,3.63,3,3,2.8,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.12527036
